X,Y,OBJECTID,rb,Gradska_cetvrt,Mjesni_odbor,lokacija,Vrsta_objekta,Izvor,Izradio
16.0081202260001,45.7856876070001,110,75,Peščenica - Žitnjak,Savica Šanci,Ulica grada Chicaga i Ulica Bože i Nikole Bionde,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0151451300001,45.7872126760001,111,76,Peščenica - Žitnjak,Savica Šanci,"I. gardijske brigade ""Tigrovi"" / Velikogorička 12 (SRC Savica Šanci)","dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9584033670001,45.7761330000001,112,41,Novi Zagreb - zapad,Savski gaj,"Nehruov trg 16, uz prugu",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.961366206,45.7692340300001,113,42,Novi Zagreb - zapad,Savski gaj,Hermanova ulica 37,dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.958366276,45.7757934200001,114,43,Novi Zagreb - zapad,Savski gaj,"Nehruov trg, južno od k.br. 16",sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.132864802,45.819765896,115,135,Sesvete,Sesvetska Sela,"Međugorska ulica, kod k.br. 44",sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1328594620001,45.8195420920001,116,136,Sesvete,Sesvetska Sela,"Međugorska ulica, kod k.br. 44",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.13430234,45.8170619480001,117,138,Sesvete,Sesvetska Selnica,Selnička ulica 69,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.092753541,45.8225237780001,118,139,Sesvete,"Sesvetska 
Sopnica",Sopnička ulica 66,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.001057955,45.7969327500001,119,173,Trnje,Sigečica,Između Čiovske ulice i Paške ulice 12B,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.969445363,45.7714347340001,120,44,Novi Zagreb - zapad,Siget,Radmanovačka ulica 39,"odbojka na pijesku, skvoš, stolni tenis, polivalentno igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9664763160001,45.776105683,121,45,Novi Zagreb - zapad,Siget,Park mladenaca,trim staza,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.987165196,45.7799339950001,122,22,Novi Zagreb - istok,Središće,Središće,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9496113320001,45.798198873,123,155,Trešnjevka - sjever,Stara Trešnjevka,Park Stara Trešnjevka,"dječje igralište, vježbalište za odrasle","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
